import time: self [us] | cumulative | imported package
import time:      5400 |      42200 |                     numpy._core.multiarray
import time:      8241 |       8241 |                     numpy._core.umath
import time:      2310 |       2310 |                       numpy._core._dtype
import time:      2147 |       2147 |                       numpy._core._string_helpers
import time:      2026 |       2026 |                       numpy._core._type_aliases
import time:      3227 |       9708 |                     numpy._core.numerictypes
import time:      2449 |       2449 |                       numpy._core._ufunc_config
import time:      4014 |       4014 |                             _compat_pickle
import time:       267 |        267 |                             _pickle
import time:      7169 |      11450 |                           pickle
import time:      2546 |      13995 |                         numpy._core._methods
import time:      4162 |      18156 |                       numpy._core.fromnumeric
import time:      7386 |      27991 |                     numpy._core._machar
import time:      6875 |       6875 |                         numpy._core.shape_base
import time:      2734 |       2734 |                         numpy._core._asarray
import time:      3247 |       3247 |                         numpy._core.arrayprint
import time:      4647 |      17502 |                       numpy._core.numeric
import time:      3430 |      20931 |                     numpy._core.einsumfunc
import time:      8209 |       8209 |                     numpy._core.function_base
import time:      3237 |       3237 |                     numpy._core.getlimits
import time:      2721 |       2721 |                     numpy._core.memmap
import time:      2781 |       2781 |                     numpy._core.records
import time:      8845 |       8845 |                     numpy._core._add_newdocs
import time:      3663 |       3663 |                     numpy._core._add_newdocs_scalars
import time:      2177 |       2177 |                     numpy._core._dtype_ctypes
import time:      4850 |       4850 |                         _ctypes
import time:      9834 |       9834 |                         ctypes._endian
import time:      8903 |      23586 |                       ctypes
import time:      3775 |      27361 |                     numpy._core._internal
import time:      3018 |       3018 |                     numpy._pytesttester
import time:      8343 |     179421 |                   numpy._core
import time:        80 |     179501 |                 numpy._core._multiarray_umath
import time:      2397 |     181897 |               numpy.__config__
import time:      3855 |       3855 |                                 numpy._typing._nbit_base
import time:      3192 |       3192 |                                 numpy._typing._nested_sequence
import time:      2400 |       2400 |                                 numpy._typing._shape
import time:     33875 |      43321 |                               numpy._typing._array_like
import time:     16571 |      16571 |                               numpy._typing._char_codes
import time:     17640 |      17640 |                               numpy._typing._dtype_like
import time:      3457 |       3457 |                               numpy._typing._nbit
import time:      9244 |       9244 |                               numpy._typing._scalars
import time:      2837 |       2837 |                               numpy._typing._ufunc
import time:      3954 |      97021 |                             numpy._typing
import time:      4108 |       4108 |                               numpy.lib._stride_tricks_impl
import time:      4852 |       8960 |                             numpy.lib._twodim_base_impl
import time:      3761 |       3761 |                               numpy.lib._array_utils_impl
import time:      6094 |       9854 |                             numpy.lib.array_utils
import time:      6622 |       6622 |                             numpy.linalg._umath_linalg
import time:      9460 |     131915 |                           numpy.linalg._linalg
import time:      8870 |       8870 |                           numpy.linalg.linalg
import time:     17177 |     157961 |                         numpy.linalg
import time:      3887 |     161848 |                       numpy.matrixlib.defmatrix
import time:      2807 |     164654 |                     numpy.matrixlib
import time:      9585 |       9585 |                       numpy.lib._histograms_impl
import time:      8043 |      17627 |                     numpy.lib._function_base_impl
import time:      2892 |       2892 |                     numpy.lib.stride_tricks
import time:      4387 |     189558 |                   numpy.lib._index_tricks_impl
import time:      7982 |     197540 |                 numpy.lib._arraypad_impl
import time:      9692 |       9692 |                 numpy.lib._arraysetops_impl
import time:      3317 |       3317 |                 numpy.lib._arrayterator_impl
import time:      3788 |       3788 |                 numpy.lib._nanfunctions_impl
import time:      8240 |       8240 |                           _wmi
import time:      4482 |      12722 |                         platform
import time:      2618 |      15340 |                       numpy.lib._utils_impl
import time:      3210 |      18549 |                     numpy.lib._format_impl
import time:      5727 |      24275 |                   numpy.lib.format
import time:      3453 |       3453 |                   numpy.lib._datasource
import time:      2848 |       2848 |                   numpy.lib._iotools
import time:      4158 |      34732 |                 numpy.lib._npyio_impl
import time:      2427 |       2427 |                     numpy.lib._ufunclike_impl
import time:      3724 |       6150 |                   numpy.lib._type_check_impl
import time:      9787 |      15937 |                 numpy.lib._polynomial_impl
import time:      4424 |       4424 |                 numpy.lib._shape_base_impl
import time:      4064 |       4064 |                 numpy.lib._version
import time:      2476 |       2476 |                 numpy.lib.introspect
import time:      2797 |       2797 |                 numpy.lib.mixins
import time:      2080 |       2080 |                 numpy.lib.npyio
import time:      7157 |       7157 |                   numpy.lib._scimath_impl
import time:      1836 |       8992 |                 numpy.lib.scimath
import time:      4421 |     294255 |               numpy.lib
import time:      3408 |       3408 |               numpy._array_api_info
import time:      7579 |     505238 |             numpy
import time:      5063 |     510301 |           openpyxl.compat.numbers
import time:      1929 |       1929 |           openpyxl.compat.strings
import time:      4460 |     516690 |         openpyxl.compat
import time:       119 |     516809 |       openpyxl.compat.numbers
import time:      3309 |       3309 |           lxml
import time:       110 |       3418 |         lxml.etree
import time:      2210 |       2210 |         defusedxml
import time:      3343 |       8970 |       openpyxl.xml
import time:      1988 |       1988 |             openpyxl.worksheet
import time:      2016 |       2016 |                 openpyxl.utils.exceptions
import time:      3621 |       5637 |               openpyxl.utils.cell
import time:      3192 |       3192 |                   openpyxl.formula.tokenizer
import time:      6589 |       9781 |                 openpyxl.formula
import time:      2432 |      12212 |               openpyxl.utils.formulas
import time:      3217 |      21065 |             openpyxl.utils
import time:      3359 |       3359 |                         openpyxl.utils.datetime
import time:      6496 |       6496 |                         openpyxl.descriptors.namespace
import time:      4598 |      14451 |                       openpyxl.descriptors.base
import time:      7695 |       7695 |                               xml
import time:      2854 |      10548 |                             xml.etree
import time:      6097 |       6097 |                             xml.etree.ElementPath
import time:      3052 |       3052 |                               pyexpat
import time:      2982 |       6034 |                             _elementtree
import time:      7446 |      30123 |                           xml.etree.ElementTree
import time:      4649 |       4649 |                               et_xmlfile.incremental_tree
import time:      4535 |       9183 |                             et_xmlfile.xmlfile
import time:      3207 |      12389 |                           et_xmlfile
import time:      2570 |       2570 |                           openpyxl.xml.constants
import time:      3660 |      48740 |                         openpyxl.xml.functions
import time:      2201 |       2201 |                         openpyxl.utils.indexed_list
import time:      3857 |      54798 |                       openpyxl.descriptors.sequence
import time:      3037 |      72286 |                     openpyxl.descriptors
import time:      2152 |       2152 |                     openpyxl.descriptors.serialisable
import time:      7684 |      82120 |                   openpyxl.styles.alignment
import time:      5573 |       5573 |                     openpyxl.styles.colors
import time:      4264 |       9836 |                   openpyxl.styles.borders
import time:      3377 |       3377 |                   openpyxl.styles.fills
import time:      2060 |       2060 |                     openpyxl.descriptors.nested
import time:      3772 |       5832 |                   openpyxl.styles.fonts
import time:      5738 |       5738 |                   openpyxl.styles.numbers
import time:      2762 |       2762 |                   openpyxl.styles.protection
import time:      1983 |       1983 |                     openpyxl.descriptors.excel
import time:       227 |        227 |                       array
import time:      2282 |       2508 |                     openpyxl.styles.cell_style
import time:      3223 |       7713 |                   openpyxl.styles.named_styles
import time:      3368 |     120745 |                 openpyxl.styles
import time:      2988 |       2988 |                   openpyxl.styles.proxy
import time:     22737 |      22737 |                   openpyxl.styles.builtins
import time:      6848 |      32572 |                 openpyxl.styles.styleable
import time:      4694 |       4694 |                 openpyxl.worksheet.hyperlink
import time:      2218 |       2218 |                 openpyxl.worksheet.formula
import time:      1892 |       1892 |                   openpyxl.cell.text
import time:      2274 |       4166 |                 openpyxl.cell.rich_text
import time:      3163 |     167556 |               openpyxl.cell.cell
import time:      1643 |       1643 |               openpyxl.cell.read_only
import time:      2074 |     171273 |             openpyxl.cell
import time:      2915 |       2915 |                   openpyxl.styles.differential
import time:      5487 |       8401 |                 openpyxl.formatting.rule
import time:      1779 |      10180 |               openpyxl.formatting
import time:      1682 |       1682 |               openpyxl.worksheet.cell_range
import time:      2463 |      14324 |             openpyxl.formatting.formatting
import time:      1566 |       1566 |               openpyxl.packaging
import time:      2188 |       2188 |               openpyxl.descriptors.container
import time:      2141 |       5895 |             openpyxl.packaging.relationship
import time:      1842 |       1842 |                 openpyxl.utils.escape
import time:      2860 |       4701 |               openpyxl.worksheet.header_footer
import time:      3806 |       8507 |             openpyxl.workbook.child
import time:      2443 |       2443 |             openpyxl.workbook.defined_name
import time:      2658 |       2658 |             openpyxl.formula.translate
import time:      2900 |       2900 |             openpyxl.worksheet.datavalidation
import time:      5407 |       5407 |             openpyxl.worksheet.page
import time:      1849 |       1849 |               openpyxl.utils.units
import time:      2111 |       2111 |               openpyxl.utils.bound_dictionary
import time:      3469 |       7429 |             openpyxl.worksheet.dimensions
import time:      3775 |       3775 |               openpyxl.utils.protection
import time:      4120 |       7894 |             openpyxl.worksheet.protection
import time:      4394 |       4394 |             openpyxl.worksheet.filters
import time:      2219 |       2219 |             openpyxl.worksheet.views
import time:      2401 |       2401 |             openpyxl.worksheet.merge
import time:      3899 |       3899 |             openpyxl.worksheet.properties
import time:      4529 |       4529 |             openpyxl.worksheet.pagebreak
import time:      2959 |       2959 |             openpyxl.worksheet.scenario
import time:      1521 |       1521 |               openpyxl.worksheet.related
import time:      3107 |       4627 |             openpyxl.worksheet.table
import time:      5220 |       5220 |             openpyxl.worksheet.print_settings
import time:      8842 |     290863 |           openpyxl.worksheet.worksheet
import time:      3471 |       3471 |             openpyxl.worksheet._reader
import time:      3241 |       6712 |           openpyxl.worksheet._read_only
import time:      4050 |       4050 |                   openpyxl.comments.comments
import time:      3443 |       7492 |                 openpyxl.comments
import time:      1838 |       1838 |                 openpyxl.comments.author
import time:      1700 |       1700 |                 openpyxl.comments.shape_writer
import time:      2991 |      14020 |               openpyxl.comments.comment_sheet
import time:      1577 |       1577 |               openpyxl.cell._writer
import time:      2538 |      18135 |             openpyxl.worksheet._writer
import time:      2353 |      20487 |           openpyxl.worksheet._write_only
import time:      1713 |       1713 |           openpyxl.worksheet.copier
import time:      3386 |       3386 |             openpyxl.writer
import time:      2073 |       2073 |                 openpyxl.drawing.drawing
import time:      2074 |       4147 |               openpyxl.drawing
import time:      4907 |       4907 |                   PIL._version
import time:      2542 |       7448 |                 PIL
import time:     13090 |      13090 |                   PIL.ExifTags
import time:      2062 |       2062 |                     PIL._deprecate
import time:      4154 |       6216 |                   PIL.ImageMode
import time:      2822 |       2822 |                   PIL.TiffTags
import time:      3303 |       3303 |                   PIL._binary
import time:      2296 |       2296 |                       numpy._typing._add_docstring
import time:      3071 |       5366 |                     numpy.typing
import time:      4481 |       9847 |                   PIL._typing
import time:      2103 |       2103 |                   PIL._util
import time:      1820 |       1820 |                   defusedxml
import time:      8927 |       8927 |                   PIL._imaging
import time:      2562 |       2562 |                   cffi
import time:      7286 |      57973 |                 PIL.Image
import time:      1467 |      66887 |               openpyxl.drawing.image
import time:      2472 |       2472 |                           openpyxl.chart.layout
import time:      5584 |       5584 |                           openpyxl.chart.picture
import time:      2961 |       2961 |                             openpyxl.drawing.colors
