import time: self [us] | cumulative | imported package
import time:      2156 |      21642 |           importlib.resources
import time:      2122 |      23763 |         importlib.abc
import time:      9037 |      67161 |       importlib.metadata
import time:      2057 |      69217 |     pydantic.plugin._loader
import time:     95247 |     547436 |   toolbox_app.tools.bth_spreader_padeye.models
import time:     17864 |      17864 |   toolbox_app.tools.bth_spreader_padeye.calc_trace
import time:      7102 |       7102 |       _hashlib
import time:       200 |        200 |       _blake2
import time:      3100 |      10402 |     hashlib
import time:      2491 |      12893 |   toolbox_app.tools.bth_spreader_padeye.paths
import time:       255 |        255 |       _csv
import time:      3043 |       3297 |     csv
import time:      5038 |       5038 |               numpy.version
import time:      2749 |       2749 |               numpy._expired_attrs_2_0
import time:      2268 |       2268 |                   numpy._utils._convertions
import time:      2433 |       4700 |                 numpy._utils
import time:      2696 |       7396 |               numpy._globals
import time:       484 |        484 |                 numpy._distributor_init_local
import time:      3266 |       3750 |               numpy._distributor_init
import time:      8630 |       8630 |                         numpy.exceptions
import time:      4178 |       4178 |                         numpy._core._exceptions
import time:      5279 |       5279 |                         numpy._core.printoptions
import time:      3001 |       3001 |                         numpy.dtypes
import time:     17008 |      38094 |                       numpy._core._multiarray_umath
import time:      2943 |       2943 |                         numpy._utils._inspect
import time:      5403 |       8345 |                       numpy._core.overrides
import time:      4070 |      50508 |                     numpy._core.multiarray
import time:      2660 |       2660 |                     numpy._core.umath
import time:      5758 |       5758 |                       numpy._core._dtype
import time:      2746 |       2746 |                       numpy._core._string_helpers
import time:      3344 |       3344 |                       numpy._core._type_aliases
import time:      4689 |      16535 |                     numpy._core.numerictypes
import time:      4993 |       4993 |                       numpy._core._ufunc_config
import time:      5616 |       5616 |                             _compat_pickle
import time:       474 |        474 |                             _pickle
import time:      4616 |      10705 |                           pickle
import time:      4036 |      14741 |                         numpy._core._methods
import time:      6658 |      21398 |                       numpy._core.fromnumeric
import time:      2908 |      29298 |                     numpy._core._machar
import time:      5639 |       5639 |                         numpy._core.shape_base
import time:      8156 |       8156 |                         numpy._core._asarray
import time:     30875 |      30875 |                         numpy._core.arrayprint
import time:      6027 |      50697 |                       numpy._core.numeric
import time:      3864 |      54560 |                     numpy._core.einsumfunc
import time:      4129 |       4129 |                     numpy._core.function_base
import time:      7023 |       7023 |                     numpy._core.getlimits
import time:      3579 |       3579 |                     numpy._core.memmap
